act_date,resettable_device_id_or_app_instance_id,predicted_45
2021-06-16,000CA7C3-8374-45C7-80F5-35F9B27841C7,1.8708608
2021-06-06,001D34AC-F140-4C4D-81D4-1269288A5DEE,2.3701928
2021-06-02,003CDB87-08E8-4DEB-BD7D-7FA52346BB08,4.7289243
2021-06-07,0040B87D-D65B-49B0-B7C0-CC7B84143F95,2.0186849
2021-05-13,005628D5-F9CF-4022-B605-83709742FBDB,2.3701928
2021-06-25,0058FEAE-67ED-4EC5-90B7-AD23682D0777,3.462058
2021-06-15,00788F68-AC19-4DF2-891E-EC09D4FC2353,1.8708608
2021-06-08,008B0CFF-FADB-4561-883A-7D09F7A2E02F,3.462058
2021-06-11,0090E84C-5867-4F20-BEA8-391D1B58A7D8,4.424842
2021-06-22,009AA372-C1BF-453D-A9A3-09637FA6A4AB,1.2696874
2021-05-17,009C5778-A5C9-4A24-A718-34756D132EBB,3.462058
2021-06-01,00BDB540-77BA-4956-931F-8AF413D8BFAF,2.6087146
2021-05-09,00D80D4F-1F1F-4356-A7D0-CD1569136E81,10.903022
2021-06-04,00D83901-4E68-4BCA-8A90-1CB892B5DDD5,0.78944325
2021-06-23,00E7B8C5-0C82-4E82-AB25-2068CA88EBD7,2.0186849
2021-06-14,00EAF02D-5B2E-43F8-AE88-79F2784C1EA9,1.0210189
2021-06-18,00F345E5-DB79-4411-B088-014289B4E97D,1.2696874
2021-06-15,00F5BE91-966E-4F33-9838-A19C6B49284A,2.3701928
2021-06-19,00F86ACF-D75B-4E1A-970C-4B3215CA81B1,1.8708608
2021-06-05,00FFD82D-E904-4F68-9CC2-3C84C7933068,3.462058
2021-06-27,0104ACB8-62E6-4330-BBB8-B588330C2FAE,2.0186849
2021-05-29,01076D3E-037A-4BC6-96B4-2DA7B2C85F1D,3.1586509
2021-06-13,011522A5-CF1E-40F0-BF52-B20585F654B4,2.0186849
2021-06-02,011659A3-AE88-4650-8C61-F5D2A0E081EA,2.7977064
2021-06-11,0117487B-652A-4B31-B8F5-FAED018646B6,2.7977064
2021-05-12,011C74D5-9A5D-4A7C-AD44-31BA30FE4DD9,2.3701928
2021-06-08,012BCE41-4731-485C-BFAE-A0C651496429,3.7661402
2021-05-14,013B5508-DFF5-47B7-83D6-27A23F95A7C7,2.6498823
2021-05-14,013E4BCD-3280-4002-8FBB-8559DD5E04F9,4.415848
2021-06-15,014306C5-3BD3-4389-8CBE-412A84305469,1.0210189
2021-06-16,01431691-08CE-4EA1-A81F-4365F394CB51,3.462058
2021-06-27,01515C36-DB72-4EE0-B95D-1CD5E0C8D725,5.9903426
2021-05-29,01591B4D-C9E5-4261-A07D-865F15E80346,3.7661402
2021-06-16,01599E37-0A6B-4DA3-967E-4817FDDF9F00,1.8708608
2021-06-16,018787AD-9E5C-42BB-B9D5-CDC9B3AFDCD2,1.8014259
2021-06-25,018984D9-81DE-4EE4-9357-79C9A8528839,1.8708608
2021-06-27,018B6DAD-3C44-4CE7-A390-9567635FB4F0,2.7977064
2021-06-09,01A19A69-53DE-4ACA-8629-CAD657A9D72D,9.806584
2021-06-22,01A2B0E5-17ED-44B0-905E-70CD47046F95,1.8708608
2021-06-16,01A7F9B5-40AA-4554-8E4F-6C1EA4AC9F9B,1.8708608
2021-06-12,01AE00FC-0777-4B04-8711-E1B292DDAE2A,2.7977064
2021-06-15,01B2A7DE-ECD8-47E9-BB94-6EB61BD2897C,1.8708608
2021-05-13,01CE47A0-3582-42FC-8FED-C12FECAEE373,1.8708608
2021-06-03,01D8C9E4-3557-44FD-A251-359A6D13E734,4.7289243
2021-06-06,01DB57EE-2B9E-4D70-AB78-D5016F67D11D,1.2696874
2021-06-19,01F18FA5-B145-4514-821F-9D8BAD543B9E,2.6498823
2021-05-18,02183C4A-6E81-400A-98A0-3F7C13C268EA,2.6087146
2021-06-10,0240FE06-EE81-4554-9826-96CB599D0F96,1.0210189
2021-06-18,0275DF0B-72FC-433A-BFB3-D5F9E925D891,3.462058
2021-06-20,02A54E9A-2363-434B-B073-9330155EBFCE,2.6498823
2021-06-13,02A7767E-894B-4BD3-87BF-DF1F81952CB5,2.3701928
2021-05-12,02A9B386-D4E8-45B5-A3B9-20748BDC364E,2.0186849
2021-05-30,02AC2C19-C104-4813-B315-B54EE08D7B2D,3.5680761
2021-06-05,02ADC780-703A-43EC-8316-9E46BCEECDCA,3.7865858
