resettable_device_id_or_app_instance_id,predicted_45,act_date
002E8A85-E57D-4E58-B472-C39663CBB856,1.4773767,2021-07-01
005915B3-BC5E-43F9-8FE0-C3485AB725D9,1.4773767,2021-08-17
005DECF0-9E45-47CA-9C11-D92BE09E54BC,1.4773767,2021-08-14
008A8080-1663-4C00-933B-AFED1F2E6DAA,1.4773767,2021-08-15
00BDB540-77BA-4956-931F-8AF413D8BFAF,2.3337407,2021-06-01
00EAF02D-5B2E-43F8-AE88-79F2784C1EA9,0.7343742,2021-06-14
01DB57EE-2B9E-4D70-AB78-D5016F67D11D,1.4773767,2021-06-06
025FEAF6-3B1F-4567-A191-74D2A0F79FB8,0.7343742,2021-07-13
026D0BAD-AFDF-48B6-9BD6-F2327406FEA8,1.4773767,2021-08-02
02E8E87D-280B-4807-ADAA-E4A249FE2502,0.7343742,2021-06-08
031CFE63-6266-4700-AFE6-80BDDCCBDBA2,1.0200566,2021-06-08
03391841-9AAE-4C98-92BE-FAA83013A675,1.4773767,2021-06-04
0383B558-85AD-4FDD-B8AE-7BB59E4D2139,1.4773767,2021-07-03
03C7B967-14D6-4FDC-A0FD-61BFA27976BB,0.7343742,2021-08-10
03F57F8A-7911-4518-A9B6-45B70776A112,2.3337407,2021-06-27
040B54E2-74F1-4F23-93CF-2E7622DC78A3,0.7343742,2021-08-18
043D5136-9386-49F0-B66B-B02A690E4C65,1.4773767,2021-07-11
04582A4F-38B1-4FBD-AFB3-86DE9D9FC9ED,0.7343742,2021-06-07
04828FEB-CA14-4843-AF28-425E8D3BABFC,2.8727129,2021-06-16
04975DA3-808C-4316-87D9-3AE874D1BFFE,0.7343742,2021-05-21
04BADA37-3045-4E30-A02D-EEC44B8A32CD,2.8727129,2021-08-08
0560F866-CD5C-432F-B2BC-EFE9951A7E18,1.4773767,2021-05-10
05726627-7684-4188-A80F-7446575D9C5F,1.4773767,2021-08-03
0575C7C3-3BFE-4903-9833-01209D729FD5,0.7343742,2021-08-05
05862E3A-FFBB-4503-9F9F-18054AD69F84,6.2986326,2021-05-26
05B8E519-8F54-46E5-8E66-DC5C72D04C1A,2.3337407,2021-06-09
063BB462-4F73-4D47-80F2-7D4D6BC29550,0.7343742,2021-06-09
06492EA9-93B4-43AF-B275-7C896127CE7C,0.7343742,2021-08-06
06710ED4-758B-4545-8157-E3F50DE36F31,1.4773767,2021-07-26
0674464D-9DAB-4F6D-888D-32469A22C4FE,1.4773767,2021-06-07
